Object,Teff,Lum,Distance,Parallax,Av,logg,[Fe/H]
HIP_27639,3765.597621613415,1138.302172594682,172.0122355043029,6.24,0.0292876269668402,0.4479460788416651,-0.1038757561015003
HIP_66738,3676.8014846742153,1355.2433913101545,172.28502562769324,6.23,0.0043810971048734,0.2516879823594786,-0.1396612299598285
HIP_105562,3134.486823172774,1633.852430093452,144.52279260664224,6.22,0.0122206645027982,-0.0408639399617332,-0.0944056665951585
HIP_11455,2799.8838378395885,2140.882499704288,224.040522930406,6.2,0.007510757750585,-0.4967134541102975,-0.2068824983934631
HIP_18597,3711.554294452071,1254.050734696489,164.81724400616994,6.2,0.0043970523226801,0.2407334990827481,-0.1437093861277569
HIP_95937,3652.527699152415,925.0056069798648,154.8732356823222,6.17,0.0532541540282852,0.5106080545021108,-0.0075353071630013
HIP_110478,2983.5028302657884,8993.017392551135,163.13213398548268,6.13,0.0047537072759698,-0.499,-0.1167115438830029
HIP_56702,3119.3386810077936,1389.500610431567,164.47368627439909,6.08,0.0269219024161446,0.0460079153212209,-0.1427396862335302
HIP_114318,3104.059077226557,2275.407787771459,242.21438640200023,6.05,0.005504563446218,-0.1723209334279918,-0.1210030894909192
HIP_34909,3458.563259523362,2581.617249170946,191.97113147606507,6.03,0.0061198815422701,0.1955415954872821,-0.0533757788297826
HIP_35120,3529.656360828085,810.0247128075395,171.31099916039008,6.01,0.004955783212806,0.5565225217746081,-0.023771485563256
HIP_15549,3977.197773680091,1295.8204556197472,182.34280866146065,6.01,0.0637394602245575,0.5259827253500027,-0.0883062532295581
HIP_89172,3572.2690927796066,1158.5609522672505,161.24633605536818,5.99,0.0139029988782679,0.3591837730831937,-0.0838266961978219
HIP_62985,3575.4890461696777,1704.6768536686577,177.40613451150176,5.99,0.0075349772309048,0.1928015589536178,-0.0293909222850622
HIP_44816,3821.509640067816,8510.004233320176,166.94491455937538,5.99,0.0067937479196633,-0.1338215575817942,-0.1142747736063815
HIP_57613,3442.541723940521,1701.210216434558,152.12603988735134,5.98,0.0063926101645441,0.0988094929671232,-0.0683644051977977
HIP_69068,3625.728688660456,779.6264263356505,168.35016672843875,5.94,0.0043797762373163,0.4038499803551074,-0.1272431295101836
